product_id,product_name,category_id,price,stock_quantity,product_description,supplier_id
1,Red Widget,2,49.99,123,High-quality red widget,5
2,Blue Widget,2,55.99,98,Blue-colored widget,8
3,Green Widget,2,42.50,76,Eco-friendly green widget,7
4,Yellow Widget,2,39.99,134,Yellow widget for all ages,5
5,Widget X,101,64.75,45,Advanced widget model,12
6,Widget Y,1,59.99,89,New and improved widget,9
7,Widget Z,1,79.99,67,The ultimate widget,14
8,Super Widget,3,99.99,112,Super high-quality widget,18
9,Mega Widget,3,149.99,24,The biggest widget available,17
10,Mini Widget,3,29.99,180,Compact and efficient widget,20
11,Widget Plus,1,89.99,56,Enhanced widget with extra features,15
12,Deluxe Widget,3,119.99,33,Luxury widget model,16
13,Widget Pro,1,79.99,76,Professional-grade widget,10
14,Standard Widget,2,36.50,210,Simple and reliable widget,8
15,Widget Prime,1,119.99,42,Top-of-the-line widget,13
16,Value Widget,2,29.99,156,Affordable widget choice,6
17,Widget Lite,1,49.99,78,Lightweight widget option,11
18,Premium Widget,3,129.99,50,High-end premium widget,19
19,Widget Max,1,99.99,63,Maximum performance widget,12
20,Ultimate Widget,3,159.99,28,The ultimate widget experience,17
21,Advanced Widget,1,79.99,65,Feature-rich advanced widget,9
22,Smart Widget,1,89.99,54,Intelligent smart widget,16
23,Speedy Widget,2,44.99,102,Swift and efficient widget,7
24,Economy Widget,2,19.99,242,Budget-friendly widget,6
25,Robo Widget,3,199.99,18,Robotics-powered widget,15
26,Design Widget,1,59.99,49,Stylish design-oriented widget,20
27,High-Performance Widget,3,149.99,31,Performance-focused widget,13
28,Compact Widget,1,39.99,96,Compact and convenient widget,8
29,Value-Added Widget,2,34.99,124,Great value-added widget,14
30,Ultimate Pro Widget,3,189.99,25,The professional's choice,17
31,Widget Master,2,79.99,73,Masterfully crafted widget,6
32,Innovative Widget,1,69.99,38,Innovation at its best,19
33,Premium Plus Widget,3,159.99,47,The premium choice,12
34,Heavy-Duty Widget,2,49.99,58,Durable heavy-duty widget,7
35,Widget Supreme,1,99.99,60,The supreme widget experience,15
36,Compact Pro Widget,3,119.99,34,Compact and professional,20
37,Designer's Widget,2,74.99,44,Designer's touch widget,8
38,Elite Widget,1,129.99,29,The elite widget solution,18
39,Performance Plus Widget,3,139.99,52,Enhanced performance widget,11
40,Pro Master Widget,2,89.99,63,Professional mastery widget,14
41,Widget Classic,1,49.99,88,The classic choice,5
